N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
750.0,TIGER 코리아밸류업,9475.0,하락  55,-0.58%,0.0,9540.0,9540.0,9445.0
751.0,신세계 I&C,8840.0,상승  60,+0.68%,500.0,8780.0,8840.0,8690.0
752.0,한투 인버스 2X 코스닥150선물 ETN,7595.0,상승  175,+2.36%,0.0,7360.0,7650.0,7310.0
753.0,토니모리,6310.0,상승  10,+0.16%,200.0,6300.0,6320.0,6150.0
754.0,TIGER 국고채30년스트립액티브,61100.0,"하락  1,480",-2.36%,0.0,62300.0,62600.0,60900.0
755.0,태경산업,5180.0,하락  10,-0.19%,500.0,5200.0,5240.0,5140.0
756.0,삼성제약,1603.0,하락  10,-0.62%,500.0,1610.0,1613.0,1585.0
757.0,TIGER 미국MSCI리츠(합성 H),13210.0,하락  30,-0.23%,0.0,13360.0,13360.0,13195.0
758.0,디아이씨,3845.0,하락  25,-0.65%,500.0,3945.0,3945.0,3670.0
759.0,서흥,12900.0,보합0,0.00%,500.0,12900.0,13060.0,12800.0
760.0,삼양통상,49700.0,하락  300,-0.60%,5000.0,49850.0,50100.0,49700.0
761.0,ACE 26-06 회사채(AA-이상)액티브,10875.0,하락  5,-0.05%,0.0,10875.0,10880.0,10870.0
762.0,TIGER 글로벌온디바이스AI,11025.0,상승  95,+0.87%,0.0,10925.0,11065.0,10925.0
763.0,ACE 엔비디아밸류체인액티브,10035.0,상승  65,+0.65%,0.0,9950.0,10035.0,9950.0
764.0,KODEX 장기종합채권(AA-이상)액티브,100960.0,하락  910,-0.89%,0.0,101590.0,101725.0,100855.0
765.0,대한화섬,111600.0,상승  200,+0.18%,5000.0,111700.0,111700.0,109200.0
766.0,이수화학,6500.0,하락  80,-1.22%,5000.0,6630.0,6630.0,6410.0
767.0,인스코비,1236.0,하락  13,-1.04%,500.0,1248.0,1249.0,1210.0
768.0,신원,1438.0,하락  33,-2.24%,500.0,1472.0,1488.0,1419.0
769.0,대신증권2우B,14750.0,하락  190,-1.27%,5000.0,14940.0,14940.0,14710.0
770.0,NH올원리츠,3440.0,하락  25,-0.72%,500.0,3460.0,3460.0,3400.0
771.0,TIGER BBIG,6220.0,하락  140,-2.20%,0.0,6360.0,6360.0,6195.0
772.0,KODEX 미국S&P500선물(H),27420.0,상승  55,+0.20%,0.0,27425.0,27470.0,27420.0
773.0,한국주철관,6430.0,상승  30,+0.47%,500.0,6440.0,6580.0,6380.0
774.0,TIGER 미국나스닥100TR채권혼합Fn,13140.0,상승  30,+0.23%,0.0,13145.0,13800.0,13130.0
775.0,ACE 엔비디아채권혼합블룸버그,21795.0,하락  155,-0.71%,0.0,21885.0,21885.0,21755.0
776.0,에이프로젠바이오로직스,735.0,하락  10,-1.34%,500.0,747.0,754.0,711.0
777.0,대창단조,5100.0,하락  40,-0.78%,500.0,5170.0,5170.0,5090.0
778.0,유니켐,1501.0,상승  2,+0.13%,500.0,1488.0,1553.0,1485.0
779.0,AK홀딩스,10980.0,하락  20,-0.18%,5000.0,11290.0,11290.0,10670.0
780.0,이지스레지던스리츠,3940.0,하락  20,-0.51%,1000.0,3995.0,3995.0,3940.0
781.0,SOL 25-09 회사채(AA-이상)액티브,53420.0,보합0,0.00%,0.0,53425.0,53425.0,53415.0
782.0,티와이홀딩스,2875.0,하락  20,-0.69%,500.0,2895.0,2895.0,2825.0
783.0,아시아나IDT,13060.0,하락  260,-1.95%,500.0,13590.0,13590.0,13040.0
784.0,SOL 미국AI소프트웨어,13795.0,상승  75,+0.55%,0.0,13770.0,13815.0,13730.0
785.0,KODEX 바이오,8040.0,상승  30,+0.37%,0.0,8015.0,8090.0,7915.0
786.0,효성ITX,12460.0,상승  30,+0.24%,500.0,12500.0,12570.0,12420.0
787.0,퍼스텍,2950.0,상승  40,+1.37%,500.0,2930.0,2965.0,2830.0
788.0,RISE 글로벌자산배분액티브,12960.0,보합0,0.00%,0.0,12945.0,12975.0,12930.0
789.0,선진,6040.0,하락  70,-1.15%,500.0,6110.0,6130.0,6030.0
790.0,KODEX TDF2050액티브,14530.0,상승  5,+0.03%,0.0,14535.0,14555.0,14515.0
791.0,TIGER 차이나과창판STAR50(합성),7775.0,하락  55,-0.70%,0.0,7835.0,7855.0,7750.0
792.0,태림포장,2020.0,상승  5,+0.25%,500.0,2015.0,2040.0,1999.0
793.0,삼성 인버스 2X WTI원유 선물 ETN,95.0,보합0,0.00%,0.0,95.0,96.0,94.0
794.0,SK디앤디,7630.0,하락  30,-0.39%,1000.0,7660.0,7730.0,7590.0
795.0,TIGER 미국테크TOP10채권혼합,13255.0,상승  55,+0.42%,0.0,13325.0,13335.0,13245.0
796.0,TIGER 코스피,25490.0,하락  215,-0.84%,0.0,25705.0,25705.0,25435.0
797.0,메리츠 3X 레버리지 국채30년 ETN,70720.0,"하락  3,770",-5.06%,0.0,74210.0,74225.0,70470.0
798.0,STX,4550.0,상승  25,+0.55%,2500.0,4530.0,4565.0,4400.0
799.0,신세계건설,18060.0,상승  10,+0.06%,5000.0,18050.0,18080.0,18050.0
800.0,사조동아원,992.0,하락  6,-0.60%,500.0,997.0,1006.0,987.0
801.0,오리엔트바이오,1178.0,상승  18,+1.55%,500.0,1112.0,1335.0,933.0
802.0,유수홀딩스,5340.0,하락  20,-0.37%,2500.0,5370.0,5370.0,5310.0
803.0,TIGER 미국필라델피아AI반도체나스닥,11115.0,상승  205,+1.88%,0.0,11130.0,11135.0,11080.0
804.0,이구산업,4110.0,하락  40,-0.96%,500.0,4145.0,4145.0,4065.0
805.0,PLUS 코스피TR,13310.0,하락  205,-1.52%,0.0,13590.0,13590.0,13295.0
806.0,한투 코스피 양매도 5% OTM ETN,9130.0,보합0,0.00%,0.0,9130.0,9130.0,9130.0
807.0,RISE 2차전지액티브,6750.0,하락  335,-4.73%,0.0,7095.0,7095.0,6715.0
808.0,그린케미칼,5700.0,상승  705,+14.11%,500.0,4970.0,5880.0,4900.0
809.0,키다리스튜디오,3685.0,하락  40,-1.07%,500.0,3705.0,3785.0,3660.0
810.0,신흥,14300.0,보합0,0.00%,500.0,14290.0,14300.0,14230.0
811.0,태경케미컬,11600.0,상승  400,+3.57%,500.0,11200.0,11680.0,10920.0
812.0,벽산,1987.0,하락  10,-0.50%,500.0,2005.0,2010.0,1982.0
813.0,금호에이치티,627.0,보합0,0.00%,500.0,621.0,634.0,613.0
814.0,우진,6560.0,상승  20,+0.31%,500.0,6550.0,6590.0,6420.0
815.0,CJ우,58900.0,"상승  1,100",+1.90%,5000.0,58000.0,58900.0,57800.0
816.0,삼성물산우B,90600.0,하락  100,-0.11%,100.0,90700.0,90900.0,90000.0
817.0,ACE 미국WideMoat동일가중,28240.0,상승  30,+0.11%,0.0,28210.0,28265.0,28185.0
