N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
951.0,KODEX 차이나CSI300,12685.0,상승  90,+0.71%,0.0,12685.0,12745.0,12515.0
952.0,TIGER 차이나CSI300레버리지(합성),19100.0,상승  270,+1.43%,0.0,18715.0,19290.0,18670.0
953.0,유니온머티리얼,2330.0,하락  10,-0.43%,500.0,2335.0,2350.0,2305.0
954.0,동일고무벨트,7040.0,상승  30,+0.43%,500.0,7030.0,7090.0,6960.0
955.0,TIGER 일본엔선물,8845.0,하락  5,-0.06%,0.0,8840.0,8845.0,8815.0
956.0,TIMEFOLIO Korea플러스배당액티브,12915.0,하락  180,-1.37%,0.0,13090.0,13105.0,12865.0
957.0,휴비스,2805.0,상승  20,+0.72%,5000.0,2770.0,2840.0,2750.0
958.0,SK이노베이션우,77500.0,"하락  1,200",-1.52%,5000.0,78700.0,79500.0,76800.0
959.0,현대코퍼레이션홀딩스,10620.0,상승  60,+0.57%,5000.0,10640.0,10690.0,10570.0
960.0,ACE 미국빅테크TOP7 Plus레버리지(합성),32095.0,"상승  1,515",+4.95%,0.0,31605.0,32220.0,31605.0
961.0,하이트론,3195.0,하락  80,-2.44%,500.0,3240.0,3270.0,3065.0
962.0,깨끗한나라,2575.0,하락  110,-4.10%,1000.0,2700.0,2725.0,2555.0
963.0,RISE 단기종합채권(AA-이상)액티브,110710.0,상승  5,0.00%,0.0,110705.0,110715.0,110705.0
964.0,KTis,2750.0,상승  10,+0.36%,500.0,2725.0,2760.0,2725.0
965.0,삼원강재,2385.0,상승  25,+1.06%,500.0,2370.0,2390.0,2345.0
966.0,TIGER 국채3년,107360.0,하락  205,-0.19%,0.0,107565.0,107595.0,107315.0
967.0,파워 종합채권(AA-이상)액티브,101510.0,보합0,0.00%,0.0,101510.0,101510.0,101510.0
968.0,인지컨트롤스,6010.0,상승  60,+1.01%,500.0,5940.0,6010.0,5850.0
969.0,KODEX 미국AI테크TOP10,11935.0,상승  245,+2.10%,0.0,11960.0,11960.0,11860.0
970.0,TIGER 미국S&P500배당귀족,12670.0,하락  75,-0.59%,0.0,12685.0,12685.0,12620.0
971.0,두산2우B,105300.0,"상승  1,000",+0.96%,5000.0,106900.0,107000.0,104100.0
972.0,인바이오젠,9340.0,보합0,0.00%,500.0,0.0,0.0,0.0
973.0,ACE 11월만기자동연장회사채AA-이상액티브,10455.0,상승  5,+0.05%,0.0,10460.0,10460.0,10450.0
974.0,HANARO 200TR,41590.0,하락  460,-1.09%,0.0,41915.0,41915.0,41590.0
975.0,KODEX K-로봇액티브,12195.0,하락  35,-0.29%,0.0,12240.0,12245.0,12120.0
976.0,동일산업,38400.0,하락  100,-0.26%,5000.0,38250.0,38450.0,38150.0
977.0,HANARO 종합채권(AA-이상)액티브,113045.0,하락  665,-0.58%,0.0,113585.0,113585.0,112960.0
978.0,한국무브넥스,3045.0,하락  15,-0.49%,1000.0,3080.0,3080.0,2980.0
979.0,범양건영,3355.0,하락  75,-2.19%,1000.0,3680.0,3730.0,3350.0
980.0,TIGER Fn메타버스,6630.0,하락  95,-1.41%,0.0,6725.0,6755.0,6630.0
981.0,성창기업지주,1315.0,상승  25,+1.94%,500.0,1291.0,1318.0,1290.0
982.0,텔코웨어,9880.0,상승  80,+0.82%,500.0,9850.0,9880.0,9770.0
983.0,히어로즈 단기채권ESG액티브,109765.0,하락  50,-0.05%,0.0,109805.0,109805.0,109765.0
984.0,한국내화,2200.0,상승  5,+0.23%,500.0,2190.0,2220.0,2155.0
985.0,태양금속,2460.0,상승  35,+1.44%,500.0,2450.0,2575.0,2410.0
986.0,한신기계,2780.0,하락  10,-0.36%,500.0,2800.0,2835.0,2750.0
987.0,동부건설,3925.0,상승  25,+0.64%,5000.0,3900.0,3950.0,3875.0
988.0,한컴라이프케어,3230.0,상승  35,+1.10%,200.0,3195.0,3280.0,3135.0
989.0,KB 레버리지 나스닥 100 ETN,29780.0,상승  880,+3.04%,0.0,29780.0,29815.0,29725.0
990.0,ACE 미국반도체데일리타겟커버드콜(합성),10495.0,상승  215,+2.09%,0.0,10345.0,10500.0,10345.0
991.0,TIGER 배당커버드콜액티브,9850.0,하락  70,-0.71%,0.0,9990.0,9990.0,9840.0
992.0,ACE 미국나스닥100채권혼합액티브,13610.0,상승  75,+0.55%,0.0,13550.0,13620.0,13550.0
993.0,대호에이엘,1304.0,상승  6,+0.46%,500.0,1305.0,1305.0,1273.0
994.0,제일연마,8920.0,하락  200,-2.19%,500.0,9050.0,9390.0,8860.0
995.0,써니전자,2405.0,하락  185,-7.14%,500.0,2505.0,2595.0,2385.0
996.0,TIGER 미디어컨텐츠,5485.0,하락  95,-1.70%,0.0,5570.0,5615.0,5470.0
997.0,KODEX 글로벌비만치료제TOP2 Plus,11065.0,상승  25,+0.23%,0.0,11025.0,11070.0,10990.0
998.0,HANARO 머니마켓액티브,50785.0,보합0,0.00%,0.0,50785.0,50795.0,50785.0
999.0,신한글로벌액티브리츠,1997.0,하락  38,-1.87%,1000.0,2035.0,2045.0,1995.0
1000.0,한국특강,1424.0,상승  7,+0.49%,500.0,1400.0,1430.0,1398.0
1001.0,KOSEF 미국S&P500,17490.0,상승  90,+0.52%,0.0,17490.0,17500.0,17460.0
1002.0,이엔플러스,1164.0,하락  83,-6.66%,500.0,1252.0,1257.0,1163.0
1003.0,무림페이퍼,2050.0,하락  30,-1.44%,2500.0,2075.0,2085.0,2015.0
1004.0,PLUS 국공채머니마켓액티브,50525.0,하락  5,-0.01%,0.0,50525.0,50530.0,50525.0
1005.0,크라운해태홀딩스,5700.0,상승  50,+0.88%,500.0,5700.0,5720.0,5570.0
1006.0,코스맥스비티아이,8790.0,상승  20,+0.23%,500.0,8790.0,8790.0,8670.0
1007.0,동방아그로,6190.0,보합0,0.00%,500.0,6210.0,6210.0,6190.0
1008.0,부산산업,79600.0,"하락  5,400",-6.35%,5000.0,84000.0,85800.0,79600.0
1009.0,DRB동일,4190.0,하락  25,-0.59%,500.0,4325.0,4325.0,4150.0
1010.0,미래에셋 -0.5X S&P500 VIX S/T선물 ETN(H),33340.0,하락  325,-0.97%,0.0,33375.0,33385.0,33330.0
1011.0,사조씨푸드,4840.0,상승  105,+2.22%,1000.0,4915.0,4915.0,4625.0
1012.0,한투 인버스2X 나스닥100 ETN B,8320.0,하락  195,-2.29%,0.0,8305.0,8320.0,8265.0
1013.0,HL D&I,2195.0,하락  35,-1.57%,5000.0,2245.0,2245.0,2195.0
1014.0,KODEX 200미국채혼합,12810.0,하락  35,-0.27%,0.0,12845.0,12865.0,12790.0
1015.0,팜스코,2260.0,상승  10,+0.44%,500.0,2330.0,2335.0,2250.0
1016.0,황금에스티,4860.0,하락  20,-0.41%,500.0,4860.0,4905.0,4835.0
1017.0,세이브존I&C,2010.0,하락  10,-0.50%,1000.0,2025.0,2035.0,1992.0
1018.0,유니온,5240.0,하락  10,-0.19%,500.0,5260.0,5300.0,5150.0
1019.0,신영와코루,9050.0,하락  30,-0.33%,500.0,9190.0,9190.0,9010.0
1020.0,삼호개발,3250.0,보합0,0.00%,500.0,3250.0,3300.0,3145.0
1021.0,TIGER 200 중공업,5375.0,하락  20,-0.37%,0.0,5415.0,5450.0,5335.0
1022.0,KODEX 성장주,13500.0,하락  150,-1.10%,0.0,13730.0,13730.0,13500.0
1023.0,까뮤이앤씨,1353.0,하락  18,-1.31%,500.0,1398.0,1398.0,1334.0
1024.0,와이투솔루션,2205.0,상승  20,+0.92%,2500.0,2185.0,2215.0,2130.0
1025.0,남광토건,8190.0,하락  160,-1.92%,5000.0,8350.0,8480.0,8070.0
1026.0,ACE 미국30년국채선물레버리지(합성 H),5995.0,하락  25,-0.42%,0.0,6010.0,6020.0,5990.0
1027.0,KODEX 은선물(H),5500.0,하락  5,-0.09%,0.0,5525.0,5530.0,5500.0
1028.0,팜젠사이언스,4385.0,상승  10,+0.23%,500.0,4400.0,4435.0,4295.0
1029.0,CS홀딩스,68900.0,"하락  1,000",-1.43%,5000.0,69800.0,69900.0,68700.0
1030.0,사조오양,8430.0,하락  80,-0.94%,5000.0,8530.0,8560.0,8390.0
1031.0,신한 블룸버그 2X 천연가스 선물 ETN,5295.0,상승  45,+0.86%,0.0,5275.0,5305.0,5245.0
1032.0,ACE 8월만기자동연장회사채AA-이상액티브,10350.0,하락  5,-0.05%,0.0,10355.0,10355.0,10350.0
1033.0,일동홀딩스,6780.0,하락  130,-1.88%,1000.0,6910.0,6970.0,6700.0
1034.0,진양화학,3675.0,상승  15,+0.41%,500.0,3585.0,3895.0,3390.0
1035.0,인디에프,1036.0,하락  101,-8.88%,500.0,1129.0,1145.0,1018.0
1036.0,TIMEFOLIO 글로벌우주테크&방산액티브,13710.0,상승  255,+1.90%,0.0,13670.0,13715.0,13650.0
1037.0,TIGER 중국소비테마,5790.0,하락  20,-0.34%,0.0,5765.0,5820.0,5715.0
1038.0,호전실업,7920.0,상승  30,+0.38%,500.0,7940.0,8040.0,7850.0
1039.0,한신공영,6670.0,하락  100,-1.48%,5000.0,6770.0,6800.0,6650.0
1040.0,신한 레버리지 S&P500 선물 ETN,38550.0,상승  260,+0.68%,0.0,38510.0,38550.0,38460.0
1041.0,KODEX 미국서학개미,19760.0,상승  695,+3.65%,0.0,19745.0,19775.0,19525.0
1042.0,유엔젤,5840.0,하락  40,-0.68%,500.0,5980.0,6060.0,5610.0
1043.0,RISE 국고채10년액티브,106380.0,하락  540,-0.51%,0.0,106980.0,106980.0,106295.0
1044.0,화승코퍼레이션,1525.0,하락  25,-1.61%,500.0,1550.0,1559.0,1472.0
1045.0,티웨이홀딩스,678.0,하락  12,-1.74%,500.0,692.0,696.0,676.0
1046.0,유유제약,4470.0,상승  25,+0.56%,1000.0,4445.0,4475.0,4180.0
1047.0,신송홀딩스,6430.0,하락  110,-1.68%,500.0,6570.0,6580.0,6420.0
1048.0,KODEX 헬스케어,16530.0,하락  205,-1.22%,0.0,16725.0,16735.0,16440.0
1049.0,NH프라임리츠,4070.0,하락  60,-1.45%,500.0,4175.0,4175.0,4050.0
1050.0,남양유업우,37900.0,하락  50,-0.13%,500.0,38000.0,38000.0,37050.0
1051.0,KB 인버스 천연가스 선물 ETN,16840.0,하락  15,-0.09%,0.0,16765.0,16875.0,16765.0
1052.0,인터지스,2545.0,상승  85,+3.46%,500.0,2485.0,2550.0,2410.0
1053.0,신한 인버스 2X 코스닥 150 선물 ETN,7570.0,상승  160,+2.16%,0.0,7355.0,7625.0,7335.0
1054.0,RISE 중기우량회사채,106460.0,하락  130,-0.12%,0.0,106635.0,106635.0,106455.0
1055.0,삼성공조,9240.0,상승  130,+1.43%,500.0,9130.0,9250.0,8910.0
1056.0,KB 레버리지 S&P 500 선물 ETN(H),18550.0,상승  80,+0.43%,0.0,18560.0,18590.0,18530.0
1057.0,TIGER 200선물레버리지,11050.0,하락  260,-2.30%,0.0,11250.0,11265.0,11005.0
1058.0,신한 WTI원유 선물 ETN(H),7400.0,상승  15,+0.20%,0.0,7370.0,7400.0,7370.0
1059.0,TIGER 200선물인버스2X,2645.0,상승  60,+2.32%,0.0,2590.0,2655.0,2590.0
1060.0,조광페인트,5760.0,상승  10,+0.17%,500.0,5750.0,5880.0,5710.0
1061.0,영보화학,3685.0,상승  15,+0.41%,500.0,3650.0,3690.0,3610.0
1062.0,세원정공,7300.0,하락  110,-1.48%,500.0,7300.0,7350.0,7270.0
1063.0,TIGER 2차전지TOP10레버리지,1522.0,하락  145,-8.70%,0.0,1668.0,1682.0,1502.0
1064.0,형지엘리트,2055.0,상승  101,+5.17%,500.0,1880.0,2065.0,1710.0
1065.0,RISE 중국본토대형주CSI100,18645.0,상승  145,+0.78%,0.0,18675.0,18695.0,18375.0
1066.0,미래에셋 -1.5X 천연가스 선물 ETN,28895.0,상승  50,+0.17%,0.0,28920.0,28970.0,28815.0
1067.0,기신정기,2470.0,상승  15,+0.61%,500.0,2495.0,2505.0,2435.0
1068.0,ACE 미국30년국채액티브,10300.0,하락  10,-0.10%,0.0,10310.0,10360.0,10260.0
1069.0,히어로즈 26-09 회사채(AA-이상)액티브,52425.0,하락  35,-0.07%,0.0,52440.0,52440.0,52415.0
1070.0,RISE 중국본토CSI300,10800.0,상승  150,+1.41%,0.0,10800.0,10855.0,10715.0
1071.0,진양폴리,7120.0,하락  140,-1.93%,500.0,7200.0,7350.0,6940.0
1072.0,TIGER 미국S&P500레버리지(합성 H),48610.0,상승  190,+0.39%,0.0,48770.0,48800.0,48560.0
1073.0,KODEX 삼성전자채권혼합,10435.0,하락  85,-0.81%,0.0,10515.0,10515.0,10410.0
1074.0,대양금속,1675.0,하락  15,-0.89%,500.0,1704.0,1704.0,1650.0
1075.0,보해양조,510.0,상승  9,+1.80%,500.0,504.0,530.0,498.0
1076.0,TIGER 미국배당다우존스타겟커버드콜1호,11890.0,하락  120,-1.00%,0.0,12010.0,12015.0,11850.0
1077.0,쌍방울,13450.0,보합0,0.00%,500.0,0.0,0.0,0.0
1078.0,지엠비코리아,3690.0,하락  10,-0.27%,500.0,3700.0,3715.0,3675.0
1079.0,TP,1372.0,상승  22,+1.63%,500.0,1360.0,1376.0,1343.0
1080.0,고려산업,2815.0,상승  30,+1.08%,1000.0,2770.0,2835.0,2760.0
1081.0,웅진,869.0,하락  1,-0.11%,500.0,868.0,880.0,816.0
1082.0,ACE G2전기차&자율주행액티브,12165.0,상승  365,+3.09%,0.0,11900.0,12165.0,11900.0
1083.0,RISE 코스닥150선물레버리지,7820.0,하락  165,-2.07%,0.0,8075.0,8075.0,7755.0
1084.0,신한 레버리지 금 선물 ETN,34100.0,하락  100,-0.29%,0.0,34160.0,34280.0,34100.0
1085.0,영풍제지,1217.0,상승  16,+1.33%,500.0,1208.0,1246.0,1196.0
1086.0,두산퓨얼셀1우,5090.0,하락  30,-0.59%,100.0,5140.0,5200.0,5050.0
1087.0,TIGER 인도니프티50레버리지(합성),45925.0,하락  585,-1.26%,0.0,46815.0,46820.0,45580.0
1088.0,GS우,38000.0,보합0,0.00%,5000.0,38000.0,38100.0,37700.0
1089.0,한국종합기술,6190.0,하락  320,-4.92%,500.0,6440.0,6650.0,6060.0
1090.0,SG세계물산,334.0,하락  4,-1.18%,500.0,339.0,343.0,333.0
1091.0,ACE 24-12 회사채(AA-이상)액티브,106475.0,보합0,0.00%,0.0,0.0,0.0,0.0
1092.0,이스타코,1575.0,하락  130,-7.62%,500.0,1638.0,1690.0,1481.0
1093.0,보락,1126.0,상승  2,+0.18%,200.0,1129.0,1130.0,1111.0
1094.0,KODEX WTI원유선물(H),14650.0,하락  15,-0.10%,0.0,14600.0,14665.0,14595.0
1095.0,TIGER 경기방어,9970.0,하락  140,-1.38%,0.0,10030.0,10030.0,9930.0
1096.0,광명전기,1549.0,하락  20,-1.27%,500.0,1599.0,1599.0,1532.0
1097.0,PLUS 신흥국MSCI(합성 H),9900.0,하락  55,-0.55%,0.0,9925.0,9970.0,9815.0
1098.0,부국증권우,22200.0,하락  100,-0.45%,5000.0,22150.0,22200.0,22150.0
1099.0,SK우,117100.0,상승  200,+0.17%,200.0,116900.0,118800.0,116200.0
1100.0,하나 블룸버그 -2X 천연가스 선물 ETN(H),66220.0,하락  490,-0.73%,0.0,65755.0,66220.0,65755.0
1101.0,삼화왕관,30600.0,하락  350,-1.13%,5000.0,31350.0,31350.0,30600.0
1102.0,대신 S&P 인버스 2X 천연가스 선물 ETN,65765.0,하락  200,-0.30%,0.0,65785.0,66075.0,65540.0
1103.0,메리츠 블룸버그 -2X 천연가스 선물 ETN(H),65530.0,하락  470,-0.71%,0.0,65730.0,66470.0,65465.0
1104.0,DSR,4085.0,하락  235,-5.44%,500.0,4280.0,4295.0,4085.0
1105.0,TIGER 200TR,18610.0,하락  190,-1.01%,0.0,18825.0,18825.0,18560.0
1106.0,삼성 미국 대형 성장주 ETN,32535.0,상승  215,+0.67%,0.0,32510.0,32535.0,32510.0
1107.0,명문제약,1914.0,상승  33,+1.75%,500.0,1902.0,2255.0,1853.0
1108.0,키움 미국달러선물 ETN,12970.0,보합0,0.00%,0.0,12970.0,12970.0,12970.0
1109.0,대림B&Co,3880.0,하락  20,-0.51%,1000.0,3900.0,3970.0,3840.0
1110.0,IHQ,10760.0,보합0,0.00%,500.0,0.0,0.0,0.0
1111.0,삼정펄프,25850.0,하락  150,-0.58%,5000.0,26000.0,26000.0,25700.0
1112.0,상신브레이크,3005.0,상승  15,+0.50%,500.0,3000.0,3015.0,2960.0
1113.0,동원금속,1372.0,하락  72,-4.99%,500.0,1426.0,1439.0,1353.0
1114.0,PLUS 미국S&P500(H),24620.0,상승  35,+0.14%,0.0,24600.0,24665.0,24600.0
1115.0,콤텍시스템,528.0,상승  3,+0.57%,500.0,525.0,530.0,522.0
1116.0,테이팩스,13380.0,하락  90,-0.67%,500.0,13690.0,13790.0,13200.0
1117.0,SOL CD금리&머니마켓액티브,50135.0,상승  5,+0.01%,0.0,50135.0,50135.0,50130.0
1118.0,미래에셋증권우,4530.0,하락  110,-2.37%,5000.0,4650.0,4650.0,4500.0
1119.0,새론오토모티브,3315.0,상승  40,+1.22%,500.0,3275.0,3320.0,3250.0
1120.0,메리츠 KAP 통안채 3개월 ETN,52785.0,보합0,0.00%,0.0,52785.0,52785.0,52785.0
1121.0,혜인,4970.0,상승  125,+2.58%,500.0,5010.0,5320.0,4900.0
1122.0,SOL 미국S&P500ESG,17055.0,보합0,0.00%,0.0,17120.0,17120.0,16990.0
1123.0,KB Wise 분할매매 ETN,10500.0,보합0,0.00%,0.0,10500.0,10500.0,10500.0
1124.0,KODEX 아시아달러채권ESG플러스액티브,60460.0,하락  15,-0.02%,0.0,60490.0,60490.0,60430.0
1125.0,동양피스톤,4720.0,하락  40,-0.84%,500.0,4815.0,4860.0,4680.0
1126.0,KODEX 미국메타버스나스닥액티브,15885.0,상승  270,+1.73%,0.0,15700.0,15905.0,15695.0
1127.0,TIGER 글로벌AI&로보틱스 INDXX,13590.0,상승  75,+0.55%,0.0,13720.0,13720.0,13550.0
1128.0,KODEX 미국10년국채선물,11885.0,상승  30,+0.25%,0.0,11855.0,11885.0,11850.0
1129.0,PLUS 단기채권액티브,115490.0,상승  5,0.00%,0.0,115490.0,115495.0,115490.0
1130.0,다이나믹디자인,1767.0,하락  83,-4.49%,500.0,1898.0,1898.0,1762.0
1131.0,HANARO 25-12 은행채(AA+이상)액티브,10075.0,상승  5,+0.05%,0.0,10075.0,10075.0,10070.0
1132.0,비상교육,4685.0,하락  235,-4.78%,500.0,4885.0,4935.0,4685.0
1133.0,미래에셋맵스리츠,2430.0,상승  5,+0.21%,1000.0,2450.0,2455.0,2420.0
1134.0,대구백화점,5610.0,하락  160,-2.77%,5000.0,5770.0,5770.0,5590.0
1135.0,HANARO Fn K-POP&미디어,6975.0,하락  215,-2.99%,0.0,7150.0,7215.0,6960.0
1136.0,금비,60200.0,"상승  1,000",+1.69%,5000.0,59700.0,62100.0,59300.0
1137.0,STX그린로지스,8380.0,상승  10,+0.12%,2500.0,8430.0,8430.0,8260.0
1138.0,한솔로지스틱스,2130.0,상승  5,+0.24%,500.0,2130.0,2140.0,2110.0
1139.0,엔케이,749.0,하락  12,-1.58%,500.0,754.0,754.0,724.0
1140.0,KODEX 미국달러선물,14110.0,상승  40,+0.28%,0.0,14085.0,14110.0,14055.0
1141.0,PLUS 고배당주위클리커버드콜,9790.0,하락  210,-2.10%,0.0,9975.0,9985.0,9790.0
1142.0,TIGER 현대차그룹+펀더멘털,25960.0,하락  5,-0.02%,0.0,25950.0,26170.0,25880.0
1143.0,미래에셋 홍콩H 선물 ETN(H),11875.0,상승  10,+0.08%,0.0,11795.0,11875.0,11750.0
1144.0,하이스틸,2940.0,보합0,0.00%,500.0,3005.0,3025.0,2885.0
1145.0,화승알앤에이,3120.0,하락  40,-1.27%,500.0,3230.0,3230.0,3070.0
1146.0,조비,11400.0,하락  340,-2.90%,5000.0,11750.0,11850.0,11330.0
1147.0,씨아이테크,1181.0,하락  10,-0.84%,500.0,1192.0,1215.0,1180.0
1148.0,ACE 마이크로소프트밸류체인액티브,12550.0,상승  115,+0.92%,0.0,12435.0,12840.0,12435.0
1149.0,ACE 구글밸류체인액티브,11555.0,상승  255,+2.26%,0.0,11320.0,11555.0,11320.0
1150.0,갤럭시아에스엠,2130.0,상승  5,+0.24%,500.0,2140.0,2150.0,2100.0
1151.0,화천기공,26650.0,하락  50,-0.19%,5000.0,26550.0,27500.0,26550.0
1152.0,RISE 대형고배당10TR,17960.0,상승  30,+0.17%,0.0,18080.0,18080.0,17890.0
1153.0,아모레G우,9020.0,하락  20,-0.22%,500.0,9050.0,9090.0,8940.0
1154.0,티에이치엔,3220.0,상승  65,+2.06%,500.0,3160.0,3260.0,3145.0
1155.0,RISE 고배당,13020.0,하락  130,-0.99%,0.0,13120.0,13135.0,12970.0
1156.0,TIGER 코스닥150 레버리지,7770.0,하락  165,-2.08%,0.0,7990.0,8005.0,7690.0
1157.0,이건산업,5280.0,하락  90,-1.68%,5000.0,5310.0,5370.0,5160.0
1158.0,인팩,5780.0,보합0,0.00%,500.0,5790.0,5790.0,5710.0
1159.0,신한 레버리지 코스닥 150 선물 ETN,23055.0,하락  545,-2.31%,0.0,23850.0,23850.0,22950.0
1160.0,SH에너지화학,518.0,하락  2,-0.38%,500.0,522.0,522.0,515.0
1161.0,다스코,3045.0,상승  10,+0.33%,500.0,3050.0,3105.0,3000.0
1162.0,화천기계,2600.0,하락  5,-0.19%,500.0,2615.0,2630.0,2580.0
1163.0,TIGER 미국나스닥바이오,23625.0,상승  260,+1.11%,0.0,23610.0,23625.0,23560.0
1164.0,SOL 한국형글로벌반도체액티브,19135.0,상승  320,+1.70%,0.0,19035.0,19135.0,19035.0
1165.0,RISE 미국S&P500(H),14855.0,상승  25,+0.17%,0.0,14835.0,14890.0,14835.0
1166.0,플레이그램,370.0,상승  3,+0.82%,100.0,369.0,380.0,365.0
1167.0,대유에이텍,1199.0,상승  19,+1.61%,500.0,1168.0,1199.0,1160.0
1168.0,서원,1179.0,상승  1,+0.08%,500.0,1143.0,1227.0,1143.0
1169.0,윌비스,832.0,하락  6,-0.72%,1000.0,799.0,834.0,794.0
1170.0,TIGER 골드선물(H),17185.0,하락  15,-0.09%,0.0,17370.0,17370.0,17180.0
1171.0,KODEX 반도체레버리지,7905.0,상승  245,+3.20%,0.0,7760.0,7950.0,7755.0
1172.0,서울식품,148.0,하락  2,-1.33%,100.0,150.0,150.0,148.0
1173.0,ACE 인도컨슈머파워액티브,10745.0,하락  60,-0.56%,0.0,10810.0,10820.0,10200.0
1174.0,DSR제강,3840.0,하락  100,-2.54%,500.0,3965.0,4010.0,3745.0
1175.0,KODEX TRF5050,16225.0,하락  10,-0.06%,0.0,16240.0,16250.0,16180.0
1176.0,KODEX 차이나H레버리지(H),1975.0,하락  10,-0.50%,0.0,1998.0,2020.0,1955.0
1177.0,세원이앤씨,1270.0,보합0,0.00%,500.0,0.0,0.0,0.0
1178.0,삼화전자,3235.0,보합0,0.00%,1000.0,3300.0,3300.0,3200.0
1179.0,RISE 미국달러SOFR금리액티브(합성),11725.0,상승  25,+0.21%,0.0,11785.0,11785.0,11700.0
1180.0,코오롱인더우,19640.0,상승  130,+0.67%,5000.0,19580.0,19640.0,19440.0
1181.0,케이비아이동국실업,486.0,하락  5,-1.02%,500.0,490.0,505.0,483.0
1182.0,마니커,851.0,상승  3,+0.35%,500.0,849.0,855.0,844.0
1183.0,선도전기,3000.0,보합0,0.00%,500.0,0.0,0.0,0.0
1184.0,ACE 단기채권알파액티브,108795.0,보합0,0.00%,0.0,108795.0,108815.0,108795.0
1185.0,한투 레버리지 천연가스 선물 ETN B,5345.0,상승  55,+1.04%,0.0,5315.0,5345.0,5285.0
1186.0,HANARO MSCI Korea TR,13620.0,하락  195,-1.41%,0.0,13765.0,13765.0,13620.0
1187.0,HANARO CAPEX설비투자iSelect,13790.0,상승  125,+0.91%,0.0,13705.0,13850.0,13580.0
1188.0,롯데칠성우,68000.0,하락  200,-0.29%,500.0,68200.0,68200.0,67600.0
1189.0,한일철강,1964.0,하락  25,-1.26%,500.0,1989.0,1989.0,1931.0
1190.0,삼성 미국 대형 성장주 ETN(H),25990.0,상승  125,+0.48%,0.0,25990.0,25990.0,25990.0
1191.0,한솔홈데코,640.0,하락  1,-0.16%,1000.0,641.0,645.0,633.0
1192.0,SOL 미국30년국채액티브(H),9115.0,하락  10,-0.11%,0.0,9115.0,9130.0,9105.0
1193.0,성보화학,2570.0,상승  15,+0.59%,500.0,2570.0,2570.0,2550.0
1194.0,ACE AI반도체포커스,12500.0,상승  200,+1.63%,0.0,12445.0,12595.0,12425.0
1195.0,천일고속,35700.0,하락  400,-1.11%,5000.0,35700.0,35800.0,35600.0
1196.0,삼성 레버리지 금 선물 ETN(H),50780.0,하락  310,-0.61%,0.0,50930.0,51200.0,50780.0
1197.0,TIGER 차이나전기차레버리지(합성),6040.0,상승  90,+1.51%,0.0,6010.0,6135.0,5885.0
1198.0,RISE 글로벌원자력,19845.0,상승  30,+0.15%,0.0,19845.0,19860.0,19655.0
1199.0,미래에셋 0.5X 코스피200 선물 ETN,10100.0,보합0,0.00%,0.0,10100.0,10100.0,10100.0
1200.0,에셋플러스 글로벌플랫폼액티브,14010.0,상승  330,+2.41%,0.0,13900.0,14025.0,13900.0
1201.0,아진전자부품,1022.0,상승  1,+0.10%,500.0,1083.0,1083.0,1015.0
1202.0,PLUS 일본반도체소부장,12755.0,하락  165,-1.28%,0.0,13460.0,13460.0,12745.0
1203.0,SJM홀딩스,3365.0,하락  5,-0.15%,500.0,3400.0,3400.0,3345.0
1204.0,메리츠 레버리지 미국채30년 ETN(H),5025.0,하락  10,-0.20%,0.0,5020.0,5040.0,5020.0
1205.0,한투 레버리지일본니케이225선물 ETN(H),20100.0,하락  15,-0.07%,0.0,20365.0,20370.0,20100.0
1206.0,ACE 중장기국공채액티브,106625.0,하락  160,-0.15%,0.0,106810.0,106810.0,106625.0
1207.0,신한 레버리지 다우존스지수 선물 ETN(H),49900.0,하락  495,-0.98%,0.0,50005.0,50100.0,49900.0
1208.0,하나 Solactive US Tech Top 10 ETN(H),24895.0,보합0,0.00%,0.0,24895.0,24895.0,24895.0
1209.0,삼성 레버리지 은 선물 ETN(H),16595.0,하락  160,-0.95%,0.0,16740.0,16820.0,16595.0
1210.0,웰바이오텍,545.0,보합0,0.00%,500.0,0.0,0.0,0.0
1211.0,케이탑리츠,1031.0,하락  3,-0.29%,1000.0,1034.0,1034.0,1020.0
1212.0,평화산업,902.0,상승  1,+0.11%,500.0,899.0,904.0,888.0
1213.0,씨티알모빌리티,5750.0,상승  30,+0.52%,500.0,5730.0,5880.0,5660.0
1214.0,메타케어,300.0,상승  6,+2.04%,500.0,294.0,306.0,291.0
1215.0,신한 인버스 2X WTI원유 선물 ETN(H),78.0,상승  1,+1.30%,0.0,78.0,78.0,77.0
1216.0,KODEX Top10동일가중,7250.0,하락  115,-1.56%,0.0,7335.0,7335.0,7250.0
1217.0,삼성 미국 대형 가치주 ETN,24570.0,하락  220,-0.89%,0.0,24540.0,24570.0,24540.0
1218.0,SOL 미국TOP5채권혼합40 Solactive,13650.0,상승  75,+0.55%,0.0,13730.0,13730.0,13585.0
1219.0,KODEX TRF7030,18900.0,상승  5,+0.03%,0.0,18910.0,18935.0,18835.0
1220.0,KODEX 국채선물10년,69860.0,하락  410,-0.58%,0.0,70270.0,70270.0,69840.0
1221.0,신풍,1400.0,상승  3,+0.21%,500.0,1397.0,1447.0,1383.0
1222.0,부국철강,2440.0,하락  20,-0.81%,500.0,2475.0,2495.0,2420.0
1223.0,유성기업,1874.0,하락  4,-0.21%,500.0,1878.0,1887.0,1870.0
